date,yield_pct,indicator,source,verified_at
2026-09-01,4.79,G0000891,Wind EDB / 美国财政部,2026-09-25
2026-09-16,5.01,G0000891,Wind EDB / 美国财政部,2026-09-25
2026-09-24,5.18,G0000891,Wind EDB / 美国财政部,2026-09-25
